title,prize,amount,year,link,genre,film_length,animation,film_stage,latin,torrent_search,youtube_search
Old Enough,Grand Jury Prize Dramatic,1,1984,https://en.m.wikipedia.org//wiki/Old_Enough,dramatic,,,,,https://rutracker.org/forum/tracker.php?nm=Old%20Enough%201984,https://www.youtube.com/results?search_query=Old+Enough+1984
Style Wars,Grand Jury Prize Documentary,1,1984,https://en.m.wikipedia.org//wiki/Style_Wars,documentary,,,,,https://rutracker.org/forum/tracker.php?nm=Style%20Wars%201984,https://www.youtube.com/results?search_query=Style+Wars+1984
Seeing Red,Honorable Mention Documentary,1,1984,https://en.m.wikipedia.org//wiki/Seeing_Red_(1983_film),documentary,,,,,https://rutracker.org/forum/tracker.php?nm=Seeing%20Red%201984,https://www.youtube.com/results?search_query=Seeing+Red+1984
The Good Fight (The Abraham Lincoln Brigade in the Spanish Civil War),Honorable Mention Documentary,1,1984,,documentary,,,,,https://rutracker.org/forum/tracker.php?nm=The%20Good%20Fight%20(The%20Abraham%20Lincoln%20Brigade%20in%20the%20Spanish%20Civil%20War)%201984,https://www.youtube.com/results?search_query=The+Good+Fight+(The+Abraham+Lincoln+Brigade+in+the+Spanish+Civil+War)+1984
Last Night at the Alamo,Special Jury Prize Dramatic,1,1984,https://en.m.wikipedia.org//wiki/Last_Night_at_the_Alamo,dramatic,,,,,https://rutracker.org/forum/tracker.php?nm=Last%20Night%20at%20the%20Alamo%201984,https://www.youtube.com/results?search_query=Last+Night+at+the+Alamo+1984
When the Mountains Tremble,Special Jury Prize Documentary,1,1984,https://en.m.wikipedia.org//wiki/When_the_Mountains_Tremble,documentary,,,,,https://rutracker.org/forum/tracker.php?nm=When%20the%20Mountains%20Tremble%201984,https://www.youtube.com/results?search_query=When+the+Mountains+Tremble+1984
The Secret Agent,Special Jury Recognition Documentary,1,1984,,documentary,,,,,https://rutracker.org/forum/tracker.php?nm=The%20Secret%20Agent%201984,https://www.youtube.com/results?search_query=The+Secret+Agent+1984
Hero,Special Jury Recognition Dramatic,1,1984,,dramatic,,,,,https://rutracker.org/forum/tracker.php?nm=Hero%201984,https://www.youtube.com/results?search_query=Hero+1984
Blood Simple,Grand Jury Prize Dramatic,1,1985,https://en.m.wikipedia.org//wiki/Blood_Simple,dramatic,,,,,https://rutracker.org/forum/tracker.php?nm=Blood%20Simple%201985,https://www.youtube.com/results?search_query=Blood+Simple+1985
Seventeen,Grand Jury Prize Documentary,1,1985,https://en.m.wikipedia.org//wiki/Seventeen_(1983_film),documentary,,,,,https://rutracker.org/forum/tracker.php?nm=Seventeen%201985,https://www.youtube.com/results?search_query=Seventeen+1985
Almost You,Special Jury Prize Dramatic,1,1985,https://en.m.wikipedia.org//wiki/Almost_You,dramatic,,,,,https://rutracker.org/forum/tracker.php?nm=Almost%20You%201985,https://www.youtube.com/results?search_query=Almost+You+1985
The Killing Floor,Special Jury Prize Dramatic,1,1985,https://en.m.wikipedia.org//wiki/The_Killing_Floor_(1985_film),dramatic,,,,,https://rutracker.org/forum/tracker.php?nm=The%20Killing%20Floor%201985,https://www.youtube.com/results?search_query=The+Killing+Floor+1985
America and Lewis Hine,Special Jury Prize Documentary,1,1985,,documentary,,,,,https://rutracker.org/forum/tracker.php?nm=America%20and%20Lewis%20Hine%201985,https://www.youtube.com/results?search_query=America+and+Lewis+Hine+1985
Kaddish,Special Jury Prize Documentary,1,1985,,documentary,,,,,https://rutracker.org/forum/tracker.php?nm=Kaddish%201985,https://www.youtube.com/results?search_query=Kaddish+1985
Streetwise,Special Jury Prize Documentary,1,1985,https://en.m.wikipedia.org//wiki/Streetwise_(1984_film),documentary,,,,,https://rutracker.org/forum/tracker.php?nm=Streetwise%201985,https://www.youtube.com/results?search_query=Streetwise+1985
The Times of Harvey Milk,Special Jury Prize Documentary,1,1985,https://en.m.wikipedia.org//wiki/The_Times_of_Harvey_Milk,documentary,,,,,https://rutracker.org/forum/tracker.php?nm=The%20Times%20of%20Harvey%20Milk%201985,https://www.youtube.com/results?search_query=The+Times+of+Harvey+Milk+1985
Stranger Than Paradise,Special Jury Recognition Dramatic,1,1985,https://en.m.wikipedia.org//wiki/Stranger_Than_Paradise,dramatic,,,,,https://rutracker.org/forum/tracker.php?nm=Stranger%20Than%20Paradise%201985,https://www.youtube.com/results?search_query=Stranger+Than+Paradise+1985
